Age_Group,Income_Level,Nationality,Luxury_Interest,Shopping_Frequency,Preferred_Category,Color_Preference,Digital_Engagement,Influenced_By_AI,Max_Spend,Will_Buy
26-35,Medium,Expat - Western,Low,Frequent,Jewelry,White,Medium,No,15537,No
46+,Medium,Other,High,Occasional,Fashion,Silver,High,No,13501,No
36-45,Medium,Expat - Arab,Medium,Rare,Real Estate,Gold,Medium,No,38371,No
18-25,Ultra High,Expat - Indian,Low,Frequent,Jewelry,Silver,High,No,47154,No
26-35,Medium,Expat - Arab,Low,Frequent,Jewelry,White,Low,Yes,37821,No
18-25,Ultra High,Emirati,Low,Frequent,Real Estate,Gold,High,Yes,24196,No
18-25,High,Expat - Arab,High,Frequent,Real Estate,Gold,Low,Yes,7073,Yes
26-35,Low,Other,Low,Occasional,Fashion,Black,High,Yes,11561,No
46+,Ultra High,Other,Medium,Occasional,Automobiles,White,High,Yes,19101,Yes
18-25,Low,Expat - Arab,Medium,Frequent,Watches,White,Medium,Yes,46516,No
36-45,High,Other,Medium,Occasional,Automobiles,Black,High,Yes,32426,No
18-25,Medium,Expat - Indian,Low,Frequent,Automobiles,Silver,Low,Yes,30341,No
26-35,High,Expat - Arab,High,Frequent,Jewelry,Black,High,No,8313,No
26-35,High,Expat - Indian,Low,Rare,Real Estate,White,Low,Yes,31773,No
26-35,High,Expat - Indian,High,Frequent,Jewelry,Silver,Low,Yes,29003,No
46+,High,Expat - Western,High,Occasional,Watches,Gold,High,Yes,27420,Yes
18-25,Medium,Expat - Arab,Medium,Frequent,Fashion,Black,Medium,Yes,6714,No
46+,Low,Other,Medium,Rare,Watches,Silver,High,Yes,28139,No
46+,Medium,Expat - Indian,Medium,Occasional,Jewelry,Silver,High,Yes,27098,No
26-35,Low,Expat - Western,Medium,Rare,Jewelry,Silver,Medium,Yes,43294,No
26-35,Medium,Expat - Arab,High,Rare,Jewelry,Black,Low,Yes,14582,No
46+,Medium,Expat - Arab,High,Frequent,Jewelry,Gold,High,Yes,44583,No
18-25,Ultra High,Emirati,Medium,Rare,Automobiles,Silver,Medium,Yes,14760,No
36-45,Medium,Emirati,Medium,Rare,Fashion,Black,Medium,No,7255,No
46+,High,Expat - Indian,High,Occasional,Automobiles,White,Low,Yes,17622,Yes
18-25,Low,Emirati,High,Rare,Jewelry,Black,Medium,Yes,36983,No
26-35,High,Expat - Indian,Medium,Frequent,Real Estate,Black,Low,Yes,41309,No
26-35,Ultra High,Other,Medium,Frequent,Automobiles,Black,High,No,30715,Yes
18-25,Medium,Expat - Indian,Medium,Frequent,Jewelry,Silver,Medium,Yes,37415,No
36-45,Medium,Emirati,High,Rare,Jewelry,Black,High,No,22792,No
26-35,High,Other,Low,Occasional,Fashion,White,Medium,No,43576,No
26-35,Low,Emirati,Medium,Frequent,Watches,Silver,Medium,Yes,23724,No
26-35,Medium,Expat - Indian,Medium,Rare,Automobiles,White,High,Yes,4652,No
18-25,Medium,Expat - Western,Medium,Frequent,Automobiles,Bold Colors,Medium,Yes,27297,No
46+,Low,Expat - Arab,Medium,Frequent,Automobiles,Black,High,Yes,33422,No
26-35,Medium,Emirati,High,Occasional,Jewelry,Silver,High,Yes,15028,No
46+,Low,Expat - Indian,Low,Frequent,Fashion,Silver,Low,Yes,14803,No
36-45,Low,Other,Medium,Occasional,Jewelry,Black,High,Yes,7307,No
26-35,Low,Emirati,Low,Rare,Jewelry,Gold,Low,Yes,32325,No
26-35,Ultra High,Emirati,Low,Frequent,Real Estate,Gold,High,No,32574,No
36-45,Medium,Expat - Arab,Medium,Rare,Fashion,White,Medium,Yes,20262,No
26-35,Ultra High,Expat - Indian,Medium,Rare,Automobiles,Black,High,No,2535,No
46+,Medium,Expat - Western,Medium,Rare,Watches,Black,Medium,No,15932,No
18-25,Medium,Other,Medium,Frequent,Automobiles,Bold Colors,Low,No,16749,No
46+,Medium,Expat - Indian,Low,Occasional,Jewelry,Gold,Medium,No,9727,No
18-25,Medium,Other,Medium,Frequent,Fashion,Gold,High,Yes,18332,No
18-25,Low,Emirati,High,Rare,Fashion,Black,Medium,Yes,30534,No
46+,Medium,Expat - Arab,High,Occasional,Fashion,White,Low,Yes,11834,No
46+,Low,Expat - Arab,Medium,Rare,Real Estate,Black,Medium,Yes,21325,Yes
46+,Medium,Expat - Western,Medium,Occasional,Automobiles,White,Medium,No,10213,No
46+,Medium,Expat - Arab,High,Frequent,Real Estate,Gold,High,No,49205,No
36-45,Low,Emirati,Low,Occasional,Watches,Bold Colors,High,Yes,2403,No
26-35,Low,Expat - Western,High,Frequent,Jewelry,Silver,Medium,Yes,8506,No
18-25,High,Expat - Indian,High,Rare,Real Estate,Gold,Low,Yes,30659,Yes
46+,Medium,Expat - Arab,Low,Occasional,Real Estate,White,Medium,Yes,8591,Yes
46+,Low,Expat - Western,Low,Rare,Jewelry,Black,Low,Yes,13996,No
46+,Ultra High,Emirati,High,Occasional,Fashion,Gold,Low,Yes,38828,Yes
36-45,Low,Other,Medium,Frequent,Jewelry,Bold Colors,Low,No,48830,No
46+,Medium,Other,Low,Occasional,Automobiles,White,Medium,Yes,35370,No
46+,Ultra High,Emirati,Medium,Occasional,Jewelry,Black,Low,No,14472,No
46+,Low,Emirati,Medium,Frequent,Fashion,Silver,Medium,No,30098,No
26-35,Low,Other,Medium,Frequent,Jewelry,White,Low,No,3196,No
36-45,Low,Expat - Western,High,Frequent,Real Estate,Black,Low,Yes,12091,Yes
46+,Medium,Other,High,Occasional,Watches,Silver,Medium,No,16040,Yes
18-25,Low,Emirati,Medium,Rare,Real Estate,Black,High,No,49784,No
18-25,Medium,Expat - Arab,Medium,Occasional,Watches,Silver,High,Yes,7023,No
18-25,Low,Expat - Indian,Medium,Occasional,Jewelry,Silver,Medium,Yes,21543,No
36-45,Medium,Expat - Arab,Medium,Rare,Automobiles,Silver,Medium,No,29377,No
36-45,Ultra High,Expat - Arab,Low,Frequent,Jewelry,Black,High,Yes,37635,No
18-25,High,Emirati,High,Occasional,Fashion,Silver,High,Yes,43337,No
46+,Medium,Other,High,Rare,Jewelry,White,High,Yes,41409,No
36-45,Medium,Expat - Western,Medium,Frequent,Watches,Bold Colors,Medium,No,6004,No
18-25,Medium,Expat - Arab,Medium,Frequent,Real Estate,Bold Colors,Low,No,10963,No
18-25,Medium,Other,Medium,Occasional,Automobiles,Silver,Medium,Yes,14796,No
46+,Medium,Expat - Western,Medium,Frequent,Jewelry,Bold Colors,High,Yes,41972,No
26-35,Low,Expat - Arab,Medium,Frequent,Jewelry,Bold Colors,Low,No,8077,No
36-45,High,Expat - Western,Medium,Rare,Real Estate,Silver,Medium,No,30848,No
46+,Medium,Other,High,Rare,Automobiles,Silver,High,No,13526,No
18-25,Low,Expat - Indian,Medium,Frequent,Jewelry,White,Medium,Yes,4261,No
18-25,Medium,Other,Medium,Rare,Jewelry,Gold,Low,Yes,18046,No
46+,Medium,Emirati,High,Frequent,Watches,Black,High,Yes,14397,No
36-45,High,Expat - Western,Low,Occasional,Watches,Silver,Medium,No,26269,No
26-35,High,Expat - Indian,Medium,Rare,Fashion,Silver,Low,Yes,37158,No
26-35,High,Expat - Western,Medium,Frequent,Real Estate,Bold Colors,Low,Yes,26757,No
18-25,Low,Expat - Western,Medium,Frequent,Automobiles,White,Medium,Yes,16299,No
36-45,Medium,Expat - Arab,High,Rare,Jewelry,Bold Colors,Low,Yes,2902,No
26-35,Medium,Emirati,Medium,Rare,Jewelry,Silver,High,No,43399,No
36-45,Low,Expat - Western,High,Occasional,Fashion,Silver,Low,Yes,49330,No
36-45,Low,Other,Medium,Frequent,Jewelry,Bold Colors,Medium,No,47308,No
18-25,High,Other,Medium,Occasional,Real Estate,Silver,High,No,4846,No
26-35,Low,Expat - Arab,High,Occasional,Fashion,Gold,Low,Yes,13359,No
46+,Medium,Emirati,Medium,Occasional,Real Estate,Black,Low,No,3520,No
18-25,Low,Emirati,Medium,Rare,Fashion,Black,High,No,41832,No
26-35,Low,Other,Medium,Occasional,Jewelry,Black,High,No,21098,No
26-35,Low,Expat - Indian,Medium,Rare,Fashion,Gold,Low,Yes,40451,Yes
26-35,Ultra High,Expat - Arab,Low,Rare,Watches,Silver,High,Yes,24136,No
26-35,High,Expat - Arab,Medium,Occasional,Automobiles,Bold Colors,Medium,Yes,36885,No
26-35,Ultra High,Other,Medium,Occasional,Jewelry,White,Low,No,31720,No
36-45,Medium,Other,Medium,Frequent,Automobiles,Silver,Medium,No,22157,No
18-25,Low,Expat - Indian,High,Occasional,Jewelry,Gold,Low,No,49372,No
36-45,Medium,Expat - Indian,Medium,Frequent,Automobiles,Gold,Medium,Yes,20674,No
46+,Medium,Emirati,High,Occasional,Watches,Black,Medium,Yes,33357,No
26-35,High,Expat - Arab,Low,Occasional,Automobiles,Silver,High,Yes,13578,No
18-25,Low,Expat - Arab,Medium,Occasional,Fashion,Black,Low,Yes,3251,No
26-35,Medium,Other,High,Occasional,Automobiles,White,High,No,14513,No
18-25,Low,Emirati,Medium,Frequent,Jewelry,Black,High,Yes,38429,No
36-45,Medium,Expat - Arab,High,Frequent,Real Estate,White,Low,Yes,28105,No
18-25,High,Emirati,Medium,Occasional,Automobiles,Gold,Medium,Yes,47871,No
46+,Medium,Emirati,Low,Occasional,Automobiles,Black,Low,Yes,21990,No
46+,Medium,Other,Medium,Frequent,Automobiles,Black,Low,Yes,26499,No
18-25,Medium,Emirati,Medium,Rare,Jewelry,Bold Colors,Low,Yes,7421,No
18-25,Medium,Expat - Indian,High,Rare,Automobiles,Gold,High,Yes,25591,No
18-25,High,Expat - Indian,Medium,Rare,Jewelry,Bold Colors,Low,Yes,27979,No
18-25,High,Expat - Western,High,Frequent,Jewelry,White,Low,Yes,21835,Yes
46+,Ultra High,Other,High,Frequent,Real Estate,White,Low,No,38693,No
26-35,High,Expat - Western,Medium,Rare,Fashion,Gold,Medium,Yes,13202,Yes
18-25,Medium,Expat - Indian,Medium,Rare,Jewelry,White,Medium,No,36414,Yes
18-25,Medium,Expat - Western,High,Occasional,Watches,Gold,Medium,No,26666,No
46+,Medium,Other,High,Frequent,Automobiles,White,Medium,Yes,20290,Yes
46+,Low,Other,Medium,Frequent,Watches,Silver,High,No,19130,No
36-45,High,Emirati,Medium,Rare,Automobiles,Black,High,Yes,38077,No
18-25,Low,Expat - Arab,Medium,Rare,Real Estate,Silver,Low,No,20396,No
36-45,Ultra High,Emirati,Medium,Frequent,Jewelry,Gold,High,No,18952,Yes
46+,Medium,Other,Medium,Occasional,Fashion,Gold,Medium,No,28122,No
46+,Medium,Expat - Indian,High,Rare,Jewelry,Silver,Low,Yes,30381,No
26-35,Medium,Expat - Indian,Low,Frequent,Automobiles,Black,Low,Yes,46435,No
18-25,High,Emirati,Low,Frequent,Fashion,Black,Medium,Yes,41078,No
36-45,Medium,Other,Medium,Occasional,Jewelry,Bold Colors,Medium,No,24267,No
46+,Medium,Expat - Indian,Medium,Occasional,Fashion,White,Medium,No,48735,No
46+,Low,Other,Medium,Rare,Automobiles,Bold Colors,High,Yes,43007,Yes
36-45,Medium,Expat - Indian,Medium,Rare,Real Estate,Black,Low,Yes,8088,No
26-35,Low,Other,Medium,Rare,Real Estate,Silver,Medium,No,32818,No
46+,High,Expat - Western,Low,Frequent,Jewelry,White,Low,Yes,13822,No
18-25,Medium,Other,Medium,Rare,Watches,Silver,Low,No,37589,Yes
46+,Medium,Other,High,Frequent,Automobiles,Bold Colors,High,No,2436,No
18-25,Low,Emirati,Medium,Rare,Jewelry,Gold,Low,Yes,46665,No
36-45,Low,Expat - Western,Medium,Occasional,Jewelry,Silver,Medium,No,28281,No
18-25,High,Expat - Arab,Medium,Occasional,Real Estate,Bold Colors,Medium,Yes,23481,No
36-45,Low,Emirati,High,Frequent,Fashion,Bold Colors,Low,Yes,31469,No
18-25,Low,Expat - Arab,Medium,Occasional,Automobiles,Bold Colors,Low,No,19867,No
36-45,Low,Expat - Indian,Medium,Frequent,Fashion,Gold,High,No,41487,No
18-25,Ultra High,Expat - Arab,High,Frequent,Automobiles,Gold,Medium,Yes,23766,Yes
26-35,High,Other,Medium,Occasional,Watches,Gold,Medium,Yes,30737,No
18-25,Medium,Expat - Arab,Low,Frequent,Real Estate,White,Low,Yes,22213,No
18-25,Low,Emirati,Medium,Occasional,Watches,Gold,Low,Yes,29355,No
26-35,Medium,Emirati,Low,Rare,Jewelry,Gold,Low,Yes,23537,No
46+,High,Expat - Arab,Medium,Rare,Real Estate,Gold,Medium,Yes,3794,No
46+,Medium,Emirati,High,Occasional,Jewelry,Silver,Low,Yes,45296,No
18-25,Low,Emirati,Medium,Occasional,Watches,Gold,High,Yes,33324,No
26-35,Low,Expat - Arab,High,Occasional,Automobiles,White,High,Yes,31858,No
18-25,Low,Expat - Western,Low,Occasional,Jewelry,Bold Colors,Low,No,43850,No
36-45,Medium,Expat - Western,High,Rare,Fashion,Silver,High,No,14018,Yes
36-45,High,Expat - Indian,Medium,Frequent,Automobiles,Black,High,Yes,18481,No
18-25,Low,Emirati,Medium,Frequent,Automobiles,Gold,High,Yes,16584,No
46+,Low,Expat - Arab,Low,Rare,Watches,Bold Colors,High,Yes,10850,No
46+,Low,Emirati,High,Frequent,Watches,Bold Colors,High,Yes,26701,No
18-25,Ultra High,Other,Low,Rare,Real Estate,Silver,Medium,Yes,42223,No
18-25,Low,Emirati,Low,Frequent,Real Estate,Black,Low,No,44952,No
36-45,High,Emirati,Medium,Occasional,Fashion,White,High,No,46975,No
46+,Medium,Expat - Western,Medium,Occasional,Automobiles,Bold Colors,Low,No,1160,No
18-25,Medium,Expat - Arab,Medium,Occasional,Fashion,Bold Colors,High,Yes,26832,No
36-45,Low,Emirati,Low,Rare,Fashion,Bold Colors,Medium,No,32210,No
46+,Low,Expat - Western,Medium,Rare,Watches,Bold Colors,Medium,No,23290,No
26-35,Medium,Expat - Indian,Medium,Frequent,Fashion,Silver,High,Yes,30441,No
36-45,High,Expat - Western,Medium,Frequent,Fashion,Black,High,Yes,25886,Yes
46+,Medium,Expat - Western,Medium,Frequent,Jewelry,Bold Colors,High,Yes,33394,No
46+,Medium,Expat - Western,High,Rare,Real Estate,White,Medium,Yes,9418,No
36-45,Low,Emirati,Medium,Frequent,Real Estate,White,Medium,No,8081,No
26-35,Ultra High,Emirati,Medium,Occasional,Automobiles,Gold,Low,Yes,38180,No
36-45,High,Expat - Indian,Medium,Frequent,Real Estate,Bold Colors,Medium,Yes,11114,Yes
46+,Low,Other,High,Occasional,Automobiles,Bold Colors,High,Yes,19722,No
18-25,Ultra High,Other,High,Rare,Jewelry,Bold Colors,Low,Yes,22972,No
18-25,Medium,Other,High,Occasional,Real Estate,Bold Colors,Medium,No,18985,No
36-45,Medium,Expat - Indian,Medium,Occasional,Jewelry,Bold Colors,Medium,Yes,6888,No
46+,High,Other,Low,Occasional,Real Estate,White,High,No,4718,No
18-25,High,Other,Medium,Rare,Real Estate,Black,Low,Yes,33147,Yes
46+,Medium,Expat - Western,Medium,Rare,Jewelry,Black,Medium,Yes,44382,No
36-45,Low,Emirati,Medium,Rare,Fashion,Gold,Medium,Yes,19309,No
18-25,Medium,Emirati,High,Rare,Fashion,White,High,No,20299,No
46+,Ultra High,Expat - Western,High,Frequent,Fashion,Bold Colors,Low,Yes,42211,Yes
18-25,Low,Expat - Western,High,Rare,Fashion,Black,Low,Yes,23036,No
36-45,Medium,Expat - Western,Medium,Occasional,Real Estate,Silver,Low,Yes,20885,No
46+,Medium,Emirati,Medium,Rare,Watches,Silver,Low,Yes,30346,No
18-25,Medium,Other,Medium,Frequent,Jewelry,Silver,High,No,48971,No
36-45,Medium,Expat - Western,Low,Frequent,Watches,Bold Colors,Medium,Yes,27691,No
18-25,Ultra High,Expat - Indian,High,Frequent,Watches,Bold Colors,Medium,Yes,41042,Yes
18-25,Low,Expat - Western,Low,Occasional,Automobiles,Gold,Low,Yes,49527,No
26-35,Low,Expat - Arab,Medium,Rare,Fashion,Gold,Low,No,18986,No
26-35,Low,Expat - Western,Medium,Rare,Real Estate,Gold,Low,Yes,28846,No
36-45,High,Emirati,Medium,Rare,Fashion,Silver,Medium,No,48872,No
26-35,Medium,Expat - Western,High,Occasional,Fashion,Bold Colors,Medium,No,42401,No
36-45,Low,Expat - Arab,Medium,Occasional,Watches,Silver,Low,Yes,9192,Yes
26-35,High,Expat - Indian,High,Frequent,Automobiles,Gold,High,Yes,40269,Yes
18-25,High,Other,Medium,Frequent,Fashion,Bold Colors,Medium,Yes,39487,No
36-45,High,Expat - Western,Medium,Rare,Jewelry,White,Medium,No,10412,No
36-45,Ultra High,Expat - Arab,High,Occasional,Jewelry,Black,Low,Yes,16963,Yes
18-25,Low,Expat - Arab,Medium,Occasional,Fashion,Black,High,Yes,34623,No
36-45,High,Expat - Indian,High,Rare,Watches,Gold,Low,No,2017,No
36-45,Medium,Emirati,Medium,Rare,Watches,Silver,Low,Yes,6279,No
26-35,High,Expat - Western,Medium,Frequent,Real Estate,White,High,Yes,11412,No
36-45,High,Expat - Arab,Medium,Frequent,Automobiles,Bold Colors,High,Yes,8712,No
46+,High,Expat - Indian,High,Frequent,Watches,Silver,High,Yes,16817,Yes
18-25,Medium,Other,Low,Rare,Real Estate,Gold,Medium,Yes,29080,No
26-35,Low,Expat - Arab,High,Rare,Jewelry,Silver,Low,Yes,7624,Yes
26-35,Medium,Expat - Indian,Medium,Frequent,Jewelry,Gold,Medium,No,30126,No
46+,Ultra High,Emirati,Medium,Frequent,Jewelry,Black,High,Yes,17579,No
18-25,Ultra High,Emirati,Medium,Occasional,Fashion,Black,Medium,No,16131,No
18-25,Low,Expat - Arab,Medium,Occasional,Automobiles,Silver,High,No,38462,No
26-35,Low,Expat - Arab,Medium,Frequent,Real Estate,White,High,Yes,47815,No
36-45,Low,Expat - Western,High,Frequent,Automobiles,Bold Colors,Low,No,38419,No
26-35,High,Expat - Indian,Medium,Occasional,Fashion,Gold,Low,Yes,24375,No
18-25,High,Expat - Arab,Medium,Frequent,Real Estate,Bold Colors,Low,No,27093,No
46+,Low,Expat - Western,Medium,Occasional,Real Estate,Black,Medium,No,46494,No
26-35,Medium,Expat - Western,Low,Occasional,Watches,White,Low,Yes,33525,No
18-25,High,Expat - Arab,Medium,Occasional,Automobiles,White,High,Yes,30030,No
26-35,High,Emirati,Medium,Rare,Automobiles,Bold Colors,Low,Yes,45067,No
36-45,Medium,Expat - Indian,Medium,Rare,Watches,Black,Medium,Yes,6207,No
26-35,Medium,Expat - Indian,Low,Frequent,Jewelry,Bold Colors,Low,Yes,11897,No
26-35,Medium,Emirati,Medium,Occasional,Fashion,Silver,Low,Yes,27639,No
18-25,Low,Expat - Arab,Medium,Rare,Automobiles,White,Low,No,3792,No
18-25,Medium,Expat - Indian,Medium,Frequent,Watches,White,Medium,Yes,1420,No
18-25,Medium,Expat - Arab,Medium,Frequent,Real Estate,Silver,High,No,30224,Yes
26-35,High,Expat - Arab,Low,Frequent,Watches,Black,High,No,20198,No
36-45,Medium,Expat - Western,High,Frequent,Jewelry,White,High,Yes,36608,No
46+,High,Emirati,High,Frequent,Fashion,Gold,Low,No,47205,No
46+,Low,Expat - Arab,High,Occasional,Jewelry,Gold,Low,Yes,18415,No
18-25,Medium,Other,Low,Frequent,Real Estate,Black,Medium,Yes,41407,No
18-25,Low,Emirati,High,Occasional,Real Estate,Silver,High,No,18875,Yes
26-35,Low,Expat - Indian,High,Rare,Real Estate,Bold Colors,Low,Yes,5975,No
46+,High,Expat - Western,High,Frequent,Real Estate,Black,Low,Yes,27461,Yes
18-25,Ultra High,Expat - Indian,Low,Rare,Watches,Bold Colors,Low,No,22331,No
36-45,Low,Expat - Indian,Medium,Occasional,Real Estate,Black,Medium,No,17893,Yes
36-45,Medium,Emirati,High,Occasional,Real Estate,Gold,High,No,19243,No
18-25,High,Expat - Indian,Medium,Rare,Watches,Silver,Medium,No,16535,No
18-25,Low,Expat - Arab,Medium,Frequent,Real Estate,Gold,High,Yes,6061,No
46+,Medium,Expat - Indian,Medium,Frequent,Jewelry,Silver,High,Yes,2858,No
46+,High,Expat - Western,Medium,Rare,Jewelry,Bold Colors,Low,No,26489,No
26-35,Medium,Expat - Western,Low,Rare,Automobiles,Black,Low,Yes,14678,No
46+,Low,Other,Medium,Rare,Jewelry,White,Low,Yes,35833,No
36-45,Medium,Expat - Western,Low,Frequent,Fashion,White,Low,Yes,48159,No
36-45,High,Expat - Indian,Medium,Frequent,Fashion,Silver,Low,No,20350,No
18-25,Medium,Expat - Western,Medium,Frequent,Fashion,Silver,High,Yes,14346,No
46+,Low,Emirati,Medium,Rare,Watches,Gold,Low,No,49005,No
26-35,High,Expat - Western,Low,Frequent,Jewelry,White,Low,Yes,7773,No
36-45,Low,Expat - Arab,Medium,Occasional,Fashion,Gold,Medium,Yes,30465,No
36-45,High,Emirati,High,Rare,Automobiles,Bold Colors,Medium,Yes,10788,Yes
26-35,Low,Other,Low,Frequent,Watches,White,High,Yes,33343,No
26-35,Ultra High,Expat - Arab,Low,Rare,Automobiles,Bold Colors,High,No,47862,No
36-45,Medium,Expat - Indian,Low,Occasional,Jewelry,Black,Medium,Yes,38210,No
36-45,Medium,Expat - Indian,High,Occasional,Real Estate,Gold,Medium,Yes,10247,No
26-35,Low,Expat - Indian,Medium,Rare,Automobiles,Silver,Low,Yes,46963,No
36-45,Medium,Expat - Arab,Medium,Rare,Real Estate,White,Low,Yes,42983,No
18-25,High,Expat - Arab,Low,Occasional,Watches,Gold,High,Yes,36972,No
18-25,Ultra High,Expat - Arab,Medium,Rare,Automobiles,Silver,Medium,Yes,17959,No
26-35,Medium,Emirati,High,Occasional,Automobiles,Black,High,No,24807,No
46+,Medium,Emirati,High,Occasional,Watches,White,Low,No,35133,No
26-35,High,Expat - Indian,Medium,Frequent,Watches,Bold Colors,High,Yes,25218,No
26-35,High,Expat - Western,Low,Rare,Fashion,Black,High,Yes,22734,No
46+,Medium,Expat - Indian,Low,Rare,Jewelry,Silver,High,Yes,23828,No
46+,Medium,Other,Low,Frequent,Automobiles,White,Low,Yes,18400,No
46+,Medium,Emirati,Medium,Occasional,Automobiles,White,High,No,21002,No
18-25,Medium,Expat - Arab,Low,Rare,Watches,Black,Low,No,33793,No
36-45,Low,Emirati,Medium,Frequent,Watches,White,Medium,Yes,37492,No
18-25,Medium,Expat - Arab,Medium,Frequent,Jewelry,Silver,High,No,33217,No
36-45,Medium,Other,High,Rare,Watches,Black,High,Yes,37226,No
18-25,High,Other,Medium,Frequent,Real Estate,Bold Colors,Low,Yes,28932,No
36-45,Low,Emirati,High,Occasional,Real Estate,Black,High,Yes,44327,No
18-25,Medium,Expat - Arab,High,Frequent,Real Estate,Black,Low,Yes,31875,No
46+,Medium,Other,Low,Occasional,Real Estate,Bold Colors,High,No,26046,Yes
26-35,Medium,Expat - Indian,High,Occasional,Jewelry,Silver,Medium,Yes,24664,No
18-25,Low,Expat - Indian,Medium,Rare,Automobiles,Gold,Medium,Yes,25453,No
36-45,Medium,Expat - Arab,Medium,Frequent,Real Estate,Gold,Medium,No,5746,No
46+,Medium,Emirati,Medium,Occasional,Watches,Bold Colors,High,No,24973,No
18-25,Medium,Other,High,Occasional,Real Estate,Silver,High,No,14217,Yes
18-25,Medium,Emirati,Medium,Frequent,Jewelry,White,Medium,No,24362,No
46+,Medium,Expat - Indian,Medium,Occasional,Watches,Bold Colors,Medium,Yes,42835,No
18-25,High,Other,High,Frequent,Real Estate,Gold,Low,No,10133,Yes
26-35,Low,Emirati,Low,Rare,Automobiles,Silver,Low,No,36809,No
18-25,High,Expat - Western,Medium,Occasional,Watches,Black,Medium,No,41533,No
26-35,Medium,Expat - Arab,High,Occasional,Watches,Silver,Medium,No,6404,No
26-35,Low,Expat - Arab,High,Frequent,Automobiles,Silver,High,Yes,34339,No
46+,Low,Expat - Western,High,Frequent,Watches,Gold,Medium,No,29725,No
18-25,Medium,Expat - Indian,High,Frequent,Real Estate,Gold,Low,Yes,9796,No
46+,High,Other,Low,Frequent,Watches,White,Low,Yes,46380,No
18-25,High,Expat - Arab,High,Occasional,Real Estate,White,Low,Yes,49073,Yes
18-25,High,Expat - Western,Medium,Rare,Automobiles,Bold Colors,Low,No,22364,Yes
36-45,Medium,Expat - Western,Medium,Rare,Fashion,Black,Low,Yes,42341,No
18-25,Medium,Expat - Indian,Low,Rare,Automobiles,White,Low,Yes,2236,No
46+,Low,Expat - Indian,Medium,Rare,Real Estate,Gold,Medium,Yes,3380,No
26-35,Medium,Emirati,High,Frequent,Jewelry,Silver,Low,No,40945,No
18-25,Medium,Expat - Arab,High,Occasional,Automobiles,Bold Colors,Low,Yes,15538,Yes
36-45,Low,Emirati,Medium,Occasional,Jewelry,White,Low,No,12971,No
46+,Low,Expat - Western,Low,Occasional,Jewelry,Silver,Low,No,44065,Yes
18-25,Medium,Other,Medium,Frequent,Real Estate,Silver,Medium,Yes,35285,No
46+,High,Other,High,Occasional,Real Estate,White,High,Yes,18917,Yes
36-45,Ultra High,Expat - Indian,High,Frequent,Fashion,Black,High,No,39655,No
36-45,Ultra High,Other,Medium,Occasional,Watches,Black,High,No,12486,No
46+,Medium,Other,Low,Rare,Automobiles,Bold Colors,High,No,38410,No
18-25,Medium,Other,Medium,Frequent,Real Estate,Black,Low,Yes,26446,No
26-35,Medium,Expat - Western,Medium,Occasional,Automobiles,Bold Colors,High,No,22703,No
36-45,High,Other,High,Rare,Jewelry,Gold,High,Yes,45191,Yes
18-25,Low,Other,Medium,Rare,Watches,White,Medium,Yes,12399,No
18-25,Medium,Other,Medium,Rare,Fashion,Silver,Medium,No,39829,No
26-35,High,Emirati,Medium,Frequent,Automobiles,Bold Colors,Medium,Yes,13685,No
36-45,Medium,Expat - Western,Low,Frequent,Watches,Black,Low,No,23241,Yes
36-45,Medium,Expat - Indian,High,Occasional,Fashion,Bold Colors,Low,Yes,5487,No
18-25,Medium,Emirati,Medium,Rare,Automobiles,Bold Colors,Low,No,13018,No
18-25,Low,Expat - Arab,Medium,Occasional,Watches,Black,Medium,Yes,31825,Yes
26-35,Medium,Expat - Western,Medium,Occasional,Real Estate,Black,High,Yes,8750,No
26-35,Medium,Expat - Western,Medium,Rare,Automobiles,White,Medium,No,18684,No
36-45,Low,Expat - Arab,Medium,Occasional,Watches,Silver,Low,Yes,44118,No
46+,Low,Expat - Arab,High,Frequent,Fashion,White,Medium,Yes,15410,No
36-45,High,Expat - Arab,Medium,Occasional,Watches,White,High,No,16105,No
18-25,Low,Expat - Indian,Medium,Rare,Real Estate,Black,Low,Yes,19913,No
36-45,Medium,Other,Low,Frequent,Automobiles,Black,High,No,37028,No
46+,Low,Expat - Western,Medium,Frequent,Automobiles,Silver,High,Yes,48342,No
26-35,Ultra High,Other,Low,Occasional,Automobiles,Bold Colors,Low,Yes,47480,No
46+,Low,Other,Medium,Occasional,Real Estate,White,High,No,18711,No
46+,Medium,Expat - Arab,High,Frequent,Fashion,Silver,Medium,No,25967,No
46+,High,Expat - Indian,High,Occasional,Automobiles,White,High,Yes,37023,Yes
26-35,High,Emirati,Medium,Rare,Fashion,Bold Colors,High,Yes,37005,No
46+,Low,Expat - Indian,Medium,Occasional,Watches,White,High,No,27622,No
46+,High,Other,Low,Occasional,Fashion,Gold,Medium,Yes,46201,No
46+,Medium,Expat - Indian,Medium,Frequent,Fashion,Silver,High,Yes,10497,No
18-25,Medium,Expat - Arab,High,Occasional,Automobiles,Black,High,Yes,17350,No
46+,Low,Emirati,Medium,Occasional,Jewelry,White,Medium,Yes,49709,No
26-35,Low,Expat - Arab,Medium,Occasional,Jewelry,Silver,Low,Yes,23696,No
46+,High,Emirati,High,Rare,Real Estate,Silver,Low,Yes,28470,Yes
46+,Medium,Other,High,Occasional,Real Estate,White,Low,Yes,31889,No
